RecordID_Int,Acreage,GPIN,IsActive,Legal,ParcelNumber,StreetNumber,StreetName,StateCode,TaxDist,TaxType,Unit,Zone
12606,0.29,6773,1,EIGHT TWENTY CONDO COMMON AREA,530259000,820 ,E HIGH ST,4.0 Commercial & Industrial,,Taxable,A&B,DN
12607,0,6773,1,UNIT 1 THE EIGHT TWENTY CONDO,530259100,820,E HIGH ST,4.0 Commercial & Industrial,,Taxable,1,DN
12608,0,6773,1,UNIT 10 THE EIGHT TWENTY CONDO,530259101,820,E HIGH ST,1.0 Residential (Urban),,Taxable,10,DN
12609,0,6773,1,UNIT 11 THE EIGHT TWENTY CONDO,530259110,820,E HIGH ST,1.0 Residential (Urban),,Taxable,11,DN
12610,0,6773,1,UNIT 12 THE EIGHT TWENTY CONDO,530259120,820,E HIGH ST,1.0 Residential (Urban),,Taxable,12,DN
12611,0,6773,1,UNIT 13 THE EIGHT TWENTY CONDO,530259130,820,E HIGH ST,1.0 Residential (Urban),,Taxable,13,DN
12612,0,6773,1,UNIT 14 THE EIGHT TWENTY CONDO,530259140,820,E HIGH ST,1.0 Residential (Urban),,Taxable,14,DN
12613,0,6773,1,UNIT 2 THE EIGHT TWENTY CONDO,530259200,820,E HIGH ST,1.0 Residential (Urban),,Taxable,2,DN
12614,0,6773,1,UNIT 3 THE EIGHT TWENTY CONDO,530259300,820,E HIGH ST,1.0 Residential (Urban),,Taxable,3,DN
12615,0,6773,1,UNIT 4 THE EIGHT TWENTY CONDO,530259400,820,E HIGH ST,1.0 Residential (Urban),,Taxable,4,DN
12616,0,6773,1,UNIT 5 THE EIGHT TWENTY CONDO,530259500,820,E HIGH ST,1.0 Residential (Urban),,Taxable,5,DN
12617,0,6773,1,UNIT 6 THE EIGHT TWENTY CONDO,530259600,820,E HIGH ST,1.0 Residential (Urban),,Taxable,6,DN
12618,0,6773,1,UNIT 7 THE EIGHT TWENTY CONDO,530259700,820,E HIGH ST,1.0 Residential (Urban),,Taxable,7,DN
12619,0,6773,1,UNIT 8 THE EIGHT TWENTY CONDO,530259800,820,E HIGH ST,1.0 Residential (Urban),,Taxable,8,DN
12620,0,6773,1,UNIT 9 THE EIGHT TWENTY CONDO,530259900,820,E HIGH ST,1.0 Residential (Urban),,Taxable,9,DN
12621,0,6773,1,SUITE A THE EIGHT TWENTY CONDO,530259A00,820,E HIGH ST,4.0 Commercial & Industrial,,Taxable,A,DN
12622,0,6773,1,SUITE B THE EIGHT TWENTY CONDO,530259B00,820,E HIGH ST,4.0 Commercial & Industrial,,Taxable,B,DN
12623,0.2,6839,1,LOT,530260000,818,E HIGH ST,4.0 Commercial & Industrial,,Taxable,,DN
12624,0.2,6900,1,LOT,530261000,901,E JEFFERSON ST,4.0 Commercial & Industrial,,Taxable,,DNH
12625,0.22,6948,1,LOT,530262000,907,E JEFFERSON ST,7.3 Exempt Local,,Exempt,,DN
12626,0.1,6991,1,LOT 1,530263000,911,E JEFFERSON ST,4.0 Commercial & Industrial,,Taxable,,DN
12627,0.08,7014,1,PT LOTS 2 & 3,530264000,913,E JEFFERSON ST,4.0 Commercial & Industrial,,Taxable,,DN
12628,0.08,7030,1,PT LOTS 2 & 3,530265000,917,E JEFFERSON ST,4.0 Commercial & Industrial,,Taxable,,DN
12629,0.4,6953,1,LOT,530266000,921,E JEFFERSON ST,7.3 Exempt Local,,Exempt,,DN
12630,0.11,6940,1,LOT 4,530267000,918,9 1/2 ST NE,4.0 Commercial & Industrial,,Taxable,,DN
12631,0.1,6893,1,LOT 5,530268000,920,9 1/2 ST NE,4.0 Commercial & Industrial,,Taxable,,DN
12632,0.16,6850,1,LOT 6,530269000,922,9 1/2 ST NE,4.0 Commercial & Industrial,,Taxable,,DN
12633,0.24,6716,1,LOT,530270000,910,E HIGH ST,4.0 Commercial & Industrial,,Taxable,,DN
12634,0.21,6705,1,LOT,530271000,912,E HIGH ST,4.0 Commercial & Industrial,,Taxable,,DN
12635,0.24,6701,1,LOT,530272000,914,E HIGH ST,4.0 Commercial & Industrial,,Taxable,,DN
12636,1.22,6695,1,LOTS A & B,530273000,920,E HIGH ST,4.0 Commercial & Industrial,,Taxable,,DN
12637,0.473,0,0,LOT,530274000,920,E HIGH ST,7.5 Exempt Multiple Non-Governmental,,Exempt,,DN
12638,0.148,0,0,LOT A,530275000,325,10TH ST NE,4.0 Commercial & Industrial,,Taxable,,DN
12639,0.164,0,0,LOT B,530275100,311,10TH ST NE,4.0 Commercial & Industrial,,Taxable,,DN
12640,0.56,7109,1,"LOT,PAR X,LOTS 1,2&3",530276000,315,10TH ST NE,4.0 Commercial & Industrial,,Taxable,,DN
12641,0.13,7244,1,LOT 4,530280000,934,E JEFFERSON ST,4.0 Commercial & Industrial,,Taxable,,DN
12642,0.12,7228,1,LOT 3,530281000,932,E JEFFERSON ST,4.0 Commercial & Industrial,,Taxable,,DN
12643,0.12,7209,1,LOT 2,530282000,930,E JEFFERSON ST,4.0 Commercial & Industrial,,Taxable,,DN
12644,0.34,7320,1,LOT 1,530283000,211,10TH ST NE,4.0 Commercial & Industrial,,Taxable,,DN
12645,0.23,7435,1,LOT 2,530284000,209,10TH ST NE,4.0 Commercial & Industrial,,Taxable,,DN
12646,0.63,7598,1,LOT,530286000,925,E MARKET ST,4.0 Commercial & Industrial,,Taxable,,DN
12647,0.85,7416,1,"LOTS 5, 8 & PARCEL X",530288000,923,E MARKET ST,4.0 Commercial & Industrial,,Taxable,,DN
12648,0.18,7322,1,LOT,530291000,913,E MARKET ST,4.0 Commercial & Industrial,,Taxable,,DN
12649,0.19,7290,1,"LOT,STRIP & PARCEL X",530292000,909,E MARKET ST,7.3 Exempt Local,,Exempt,,DN
12650,0.3,7371,1,PT LOT,530293000,901-905,E MARKET ST,4.0 Commercial & Industrial,,Taxable,,DN
12651,0.42,7079,1,LOT,530297000,900,E JEFFERSON ST,4.0 Commercial & Industrial,,Taxable,,DN
12652,0.49,7140,1,LOT (SOUTH BUILDING) 101,530299000,902,E JEFFERSON ST,4.0 Commercial & Industrial,,Taxable,101,DN
12653,0,7140,1,UNIT G1 WEST E JEFF ST CONDO,530299100,908,E JEFFERSON ST,4.0 Commercial & Industrial,,Taxable,G1,DN
12654,0,7140,1,UNIT 202 EAST E JEFF ST CONDO,530299101,914,E JEFFERSON ST,4.0 Commercial & Industrial,,Taxable,202,DN
12655,0,7140,1,UNIT 204 E JEFF ST CONDO,530299110,914,E JEFFERSON ST,4.0 Commercial & Industrial,,Taxable,204,DN
12656,0,7140,1,UNIT G 3 WEST E JEFF ST COND,530299200,908,E JEFFERSON ST,4.0 Commercial & Industrial,,Taxable,G3,DN
12657,0,7140,1,UNIT 101 WEST E JEFF ST CONDO,530299300,908,E JEFFERSON ST,4.0 Commercial & Industrial,,Taxable,101,DN
12658,0,7140,1,UNIT 201 WEST E JEFF ST CONDO,530299400,908,E JEFFERSON ST,4.0 Commercial & Industrial,,Taxable,201,DN
12659,0,7140,1,UNIT 203 WEST E JEFF ST CONDO,530299500,908,E JEFFERSON ST,4.0 Commercial & Industrial,,Taxable,203,DN
12660,0,7140,1,UNIT G2 EAST E JEFF ST CONDO,530299600,914,E JEFFERSON ST,4.0 Commercial & Industrial,,Taxable,G2,DN
12661,0,7140,1,UNIT G4 EAST E JEFF ST CONDO,530299700,914,E JEFFERSON ST,4.0 Commercial & Industrial,,Taxable,G4,DN
12662,0,7140,1,UNIT 102 EAST E JEFF ST CONDO,530299800,914,E JEFFERSON ST,4.0 Commercial & Industrial,,Taxable,102,DN
12663,0,7140,1,UNIT 104 EAST E JEFF ST CONDO,530299900,914,E JEFFERSON ST,7.7 Exempt Religious,,Exempt,104,DN
12664,0,7140,1,LOT (SOUTH BUILDING) 201,530299A00,902,E JEFFERSON ST,4.0 Commercial & Industrial,,Taxable,201,DN
12665,0.28,7186,1,LOT,530301000,922,E JEFFERSON ST,4.0 Commercial & Industrial,,Taxable,,DN
12666,0,0,0,RAILROAD LOT,530555000,0,UNKNOWN,8.0 State Corporation Commission,,Taxable,,MLTP
12667,0.172,6281,1,LOT 6 BK 6 LOCUST GROVE,540001000,528,LOCUST AVE,1.0 Residential (Urban),,Taxable,,R-2C
12668,0.172,6308,1,LOT 5 BK 6 LOCUST GROVE,540002000,524,LOCUST AVE,3.0 Multi-Family,,Taxable,,B-1C
12669,0.172,6343,1,LOT 4 BK 6 LOCUST GROVE,540003000,520,LOCUST AVE,1.0 Residential (Urban),01,Taxable,,R-2C
12670,0.17,6373,1,LOT 3 BK 6 LOCUST GROVE,540004000,516,LOCUST AVE,4.0 Commercial & Industrial,,Taxable,,B-1C
12671,0.17,6403,1,LOT 2 BK 6 LOCUST GROVE,540004100,510,LOCUST AVE,4.0 Commercial & Industrial,,Taxable,,B-1C
12672,0.17,6427,1,LOT 1 BK 6 LOCUST GROVE,540005000,506,LOCUST AVE,4.0 Commercial & Industrial,,Taxable,,B-1C
12673,0.89,6496,1,LOT LOCUST GROVE,540007000,400,LOCUST AVE,4.0 Commercial & Industrial,,Taxable,,HSC
12674,0.18,6512,1,LOT LOCUST GROVE,540008000,1007,E HIGH ST,4.0 Commercial & Industrial,,Taxable,,HSC
12675,0.17,6532,1,LOT BK 6 LOCUST GROVE,540009000,1009,E HIGH ST,4.0 Commercial & Industrial,,Taxable,,HSC
12676,0.22,6451,1,LOTS 7 & 8 LOCUST GROVE,540010000,501,GROVE AVE,4.0 Commercial & Industrial,,Taxable,,B-1C
12677,0.172,6421,1,LOT 9 BK 6 LOCUST GROVE,540011000,505,GROVE AVE,1.0 Residential (Urban),,Taxable,,R-2C
12678,0.258,6380,1,LOT 10&PT 11 BK 6 LOCUST GROVE,540012000,521,GROVE AVE,1.0 Residential (Urban),01,Taxable,,R-2C
12679,0.258,6338,1,LOT 12&PT 11 BK 6 LOCUST GROVE,540013000,525,GROVE AVE,1.0 Residential (Urban),,Taxable,,R-2C
12680,0.224,6401,1,PT LOTS 5&6 BK 7 LOCUST GROVE,540014000,506,GROVE AVE,1.0 Residential (Urban),,Taxable,,R-2C
12681,0.107,6437,1,PT LOTS 5&6 BK 7 LOCUST GROVE,540014100,1104,SYCAMORE ST,1.0 Residential (Urban),,Taxable,,R-2
12682,0.331,6439,1,LOT 4 & PT 5 BK 7 LOCUST GROVE,540015000,504,GROVE AVE,1.0 Residential (Urban),01,Taxable,,R-2C
12683,0.11,6519,1,LOT B BK 7 LOCUST GROVE,540016000,1115,E HIGH ST,4.0 Commercial & Industrial,,Taxable,,HS
12684,0.34,6489,1,LOT X & Y BK 7 LOCUST GROVE,540017000,1101,E HIGH ST,4.0 Commercial & Industrial,,Taxable,,HSC
12685,0.46,6638,1,LOT 1 & 2 LOCUST GROVE,540018000,1100,E HIGH ST,4.0 Commercial & Industrial,,Taxable,,HS
12686,0.23,6628,1,LOT 1 LOCUST GROVE,540019000,1108,E HIGH ST,4.0 Commercial & Industrial,,Taxable,,HS
12687,0.21,6630,1,LOT 2 LOCUST GROVE,540019100,1106,E HIGH ST,4.0 Commercial & Industrial,,Taxable,,HS
12688,0.26,6622,1,PT LOT 14 LOCUST GROVE,540020000,1112,E HIGH ST,4.0 Commercial & Industrial,,Taxable,,HS
12689,0.43,6621,1,LOT 13 LOCUST GROVE,540021000,1114,E HIGH ST,4.0 Commercial & Industrial,,Taxable,,HS
12690,0.28,6615,1,LOT A,540022000,1116,E HIGH ST,1.0 Residential (Urban),,Taxable,,HS
12691,0.27,6733,1,LOT B,540022100,1119,MERIWETHER ST,1.0 Residential (Urban),,Taxable,,B-1
12692,0.11,6469,1,LOT 1-B LOCUST GROVE,540023000,1200,SYCAMORE ST,4.0 Commercial & Industrial,,Taxable,,HS
12693,0.2,6483,1,LOT 1-A,540024000,401,ORANGE ST,4.0 Commercial & Industrial,,Taxable,,HS
12694,0.19,6610,1,LOT 31 LOCUST GROVE,540025000,1120,E HIGH ST,3.0 Multi-Family,,Taxable,,HS
12695,0.14,6605,1,PT LOT 1,540026000,1122,E HIGH ST,4.0 Commercial & Industrial,,Taxable,,HS
12696,0.16,6599,1,LOT A LOCUST GROVE,540027000,1124,E HIGH ST,3.0 Multi-Family,,Taxable,,HS
12697,0.234,6710,1,LOT 5 MERIWETHER LEWIS,540028000,1117,MERIWETHER ST,3.0 Multi-Family,,Taxable,,R-2
12698,0.26,6704,1,LOTS 6 & 6A MERIWETHER LEWIS,540029000,1121,MERIWETHER ST,1.0 Residential (Urban),,Taxable,,R-2
12699,0.31,6700,1,LOTS 7 & 7A MERIWETHER LEWIS,540030000,1137,MERIWETHER ST,1.0 Residential (Urban),,Taxable,,R-1S
12700,0.284,6755,1,LOT 8 MERIWETHER LEWIS,540031000,1139,MERIWETHER ST,1.0 Residential (Urban),,Taxable,,R-1S
12701,0.253,0,0,LOT 3 MERIWETHER LEWIS,540032000,1126,E HIGH ST,4.0 Commercial & Industrial,,Taxable,,HS
12702,0.52,6593,1,LOTS 3&4 MERIWETHER LEWIS,540033000,1128,E HIGH ST,4.0 Commercial & Industrial,,Taxable,,HS
12703,0.218,6749,1,LOT 13 BK D MERIWETHER LEWIS,540034000,1141,MERIWETHER ST,3.0 Multi-Family,,Taxable,,R-1S
12704,0.247,6764,1,LOT 12 BK D MERIWETHER LEWIS,540035000,1143,MERIWETHER ST,1.0 Residential (Urban),,Taxable,,R-1S
12705,0.178,6804,1,LOT B MERIWETHER LEWIS,540036000,1145,MERIWETHER ST,1.0 Residential (Urban),,Taxable,,R-1S
12706,0.148,6853,1,LOT A & PT ST MERIWETHER LEWIS,540037000,1147,MERIWETHER ST,1.0 Residential (Urban),,Taxable,,R-1S
